Especie,Ambiente,ConsumoO2,Massa,ConsumoO2kg,Rotacao,Temperatura
C.sardinella,Marinho,38.868,320,2.084,0,6.7
C.sardinella,Marinho,24.882,109,2.358,12.5,10.8
C.sardinella,Marinho,29.292,143,2.311,4.5,10.3
C.sardinella,Marinho,45.618,225,2.307,6,10.3
C.sardinella,Marinho,35.694,174,2.312,6,8.9
C.sardinella,Marinho,38.976,188,2.317,3.5,8.9
C.sardinella,Marinho,33.498,143,2.37,0,9.4
C.sardinella,Marinho,31.524,104,2.482,5,9.4
C.sardinella,A.doce,20.196,138,2.165,1,9.2
C.sardinella,A.doce,39.69,365,2.036,4,9.2
C.sardinella,A.doce,25.812,140,2.266,8,10.8
C.sardinella,A.doce,37.404,183,2.31,10,10.6
C.sardinella,A.doce,33.396,221,2.179,5,9.4
C.sardinella,A.doce,29.1,204,2.154,7,9.4
C.sardinella,A.doce,36.654,256,2.156,5.5,9.7
C.sardinella,A.doce,11.016,135,1.912,2,9.7
C.sardinella,A.doce,20.34,180,2.053,5,9.4
C.sardinella,A.doce,41.616,362,2.061,5,8.3
C.sardinella,A.doce,27.858,231,2.081,3,8.9
C.sardinella,A.doce,30.546,216,2.151,2.5,8.9
C.sardinella,A.doce,16.758,129,2.114,7.5,9.2
C.sardinella,A.doce,25.32,129,2.293,7,9.2
C.autumnalis,Marinho,36.852,157,2.371,0,7.2
C.autumnalis,Marinho,13.494,124,2.037,0,7.2
C.autumnalis,Marinho,24.648,130,2.278,0,6.7
C.autumnalis,Marinho,32.274,234,2.14,5,7.2